date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:43:19	1561/1561	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2026%20Nov%202024%2009:43:19%20GMT	https://fonts.gstatic.com/	E:/REGENT%202/REGENT%202/fonts.gstatic.com/index.html	(from https://98o.976.myftpupload.com/)
17:43:20	1295/1295	---M--	200	added ('OK')	image/png	etag:%22526-615188cafdab1%22	https://98o976.p3cdn1.secureserver.net/wp-content/uploads/2022/01/cropped-Untitled_design__3_-removebg-preview-32x32.png	E:/REGENT%202/REGENT%202/98o976.p3cdn1.secureserver.net/wp-content/uploads/2022/01/cropped-Untitled_design__3_-removebg-preview-32x32.png	(from https://98o.976.myftpupload.com/)
17:43:20	22739/22739	---M--	200	added ('OK')	image/png	etag:%2263fa-615188caea230%22	https://98o976.p3cdn1.secureserver.net/wp-content/uploads/2022/01/cropped-Untitled_design__3_-removebg-preview-192x192.png	E:/REGENT%202/REGENT%202/98o976.p3cdn1.secureserver.net/wp-content/uploads/2022/01/cropped-Untitled_design__3_-removebg-preview-192x192.png	(from https://98o.976.myftpupload.com/)
17:43:20	20660/20660	---M--	200	added ('OK')	image/png	etag:%2259a3-615188caf9849%22	https://98o976.p3cdn1.secureserver.net/wp-content/uploads/2022/01/cropped-Untitled_design__3_-removebg-preview-180x180.png	E:/REGENT%202/REGENT%202/98o976.p3cdn1.secureserver.net/wp-content/uploads/2022/01/cropped-Untitled_design__3_-removebg-preview-180x180.png	(from https://98o.976.myftpupload.com/)
17:43:20	14015/14015	---M--	200	added ('OK')	image/png	etag:%223b3c-6153fa1ab441c%22	https://98o976.p3cdn1.secureserver.net/wp-content/uploads/2024/03/Untitled_design__3_-removebg-preview-1-173x123.png	E:/REGENT%202/REGENT%202/98o976.p3cdn1.secureserver.net/wp-content/uploads/2024/03/Untitled_design__3_-removebg-preview-1-173x123.png	(from https://98o.976.myftpupload.com/)
17:43:21	125318/125318	---M--	200	added ('OK')	image/jpeg	etag:%221f98c-614b79beb04d9%22	https://98o976.p3cdn1.secureserver.net/wp-content/uploads/2024/03/meeting-workplace-team-5395615-1.jpg?time=1732491504	E:/REGENT%202/REGENT%202/98o976.p3cdn1.secureserver.net/wp-content/uploads/2024/03/meeting-workplace-team-5395615-1b0d0.jpg	(from https://98o.976.myftpupload.com/)
17:43:21	280957/280957	---M--	200	added ('OK')	image/jpeg	etag:%2247e7f-5d666e398bf40%22	https://98o976.p3cdn1.secureserver.net/wp-content/uploads/2022/01/skyscraper-architecture-eccentric-tower-2175943.jpg?time=1732491504	E:/REGENT%202/REGENT%202/98o976.p3cdn1.secureserver.net/wp-content/uploads/2022/01/skyscraper-architecture-eccentric-tower-2175943b0d0.jpg	(from https://98o.976.myftpupload.com/)
17:43:21	5418/5418	---M--	200	added ('OK')	image/png	etag:%2218ca-614f2494bf8c3%22	https://98o976.p3cdn1.secureserver.net/wp-content/uploads/2024/03/Shirley.png?time=1732491504	E:/REGENT%202/REGENT%202/98o976.p3cdn1.secureserver.net/wp-content/uploads/2024/03/Shirleyb0d0.png	(from https://98o.976.myftpupload.com/)
17:43:21	9427/9427	---M--	200	added ('OK')	image/png	etag:%222ba4-614f249286348%22	https://98o976.p3cdn1.secureserver.net/wp-content/uploads/2024/03/Andrew.png?time=1732491504	E:/REGENT%202/REGENT%202/98o976.p3cdn1.secureserver.net/wp-content/uploads/2024/03/Andrewb0d0.png	(from https://98o.976.myftpupload.com/)
17:43:22	5056/5056	---M--	200	added ('OK')	image/png	etag:%2216cd-614f24957d3f4%22	https://98o976.p3cdn1.secureserver.net/wp-content/uploads/2024/03/Terry.png?time=1732491504	E:/REGENT%202/REGENT%202/98o976.p3cdn1.secureserver.net/wp-content/uploads/2024/03/Terryb0d0.png	(from https://98o.976.myftpupload.com/)
